"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E1-shock-decomposition"
"07/25/2026 15:08:26:337 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","fertilizer-shock","fuel-shock","panic-rate","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[demand] of one-of consumers"
"2","1","1","1","false","114","47.18654230704069","18.702500824576525","0.5267658897479903","41.26962837271614"
"1","1","1","1","false","3","0","0","0.8040766914967163","45.36830721054452"
"3","1","1","1","false","109","44.72104868937397","18.83086395273472","0.5488885196385285","67.81015102402425"
"3","1","1","1","false","110","46.219427433790464","18.827781757501164","0.5470001200114871","51.87084854022627"
"2","1","1","1","false","115","45.826982151366636","18.17119787216815","0.5350195980104794","67.67372893680778"
"2","1","1","1","false","116","45.927866827017006","18.323234343066805","0.7850195980104794","52.98824301275804"
"3","1","1","1","false","111","46.25369070060618","18.94803677444273","0.5470001200114871","56.46122349806445"
"2","1","1","1","false","117","45.95877780751137","18.32479500028204","0.7746187905930174","48.87141080292227"
"3","1","1","1","false","112","46.28881558151519","18.932901950317614","0.5470001200114871","56.427500074797635"
"2","1","1","1","false","118","46.10616153909376","18.580663660683733","0.7621369055175191","49.41438154860578"
"3","1","1","1","false","113","46.28905441985617","18.981014403093912","0.5271873056471291","44.887140240834945"
"2","1","1","1","false","119","46.524136606915675","18.3112476664642","0.558131250199521","63.903580190976406"
"3","1","1","1","false","114","45.959031943074564","18.954268553747575","0.7771873056471291","39.34574922167626"
"2","1","1","1","false","120","46.50593005166586","18.41212912951333","0.558131250199521","43.191493293473"
"3","1","1","1","false","115","45.591760507641546","18.975087052748897","0.7771873056471291","40.69383704781821"
"2","1","1","1","false","121","46.342434112835384","18.742613342323217","0.5201632049767323","57.49023250105296"
"3","1","1","1","false","116","45.75336659540533","19.211970139162034","0.7771873056471291","48.55234297395684"
"2","1","1","1","false","122","44.27985944879066","17.892352702808143","0.5201632049767323","25.470879832417683"
"3","1","1","1","false","117","46.096521852476016","19.090505675554738","0.5657845071967542","40.88452235703471"
"2","1","1","1","false","123","44.18812870282171","17.957086903070927","0.7701632049767323","41.47289329173525"
"3","1","1","1","false","118","45.945876841082764","19.129510511677015","0.5657845071967542","41.169306197566215"
