"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"government-comparison"
"07/25/2026 14:37:30:554 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[production-capacity] of one-of farmers"
"75","false","156","44.43434457576316","19.07508488042664","0.2652179979792414","49.650000000000006"
"77","false","156","55.724059557567415","21.209605968163082","0.26644822014142855","49.650000000000006"
"76","false","156","44.73762679161553","16.37316099508577","0.26409351213352084","49.650000000000006"
"79","false","156","57.89511006337121","23.67969031611592","0.27755408947465515","49.650000000000006"
"78","false","156","41.53926033736045","18.81690139565636","0.3827934974610586","49.650000000000006"
"80","false","156","52.93264705966768","21.43554544656936","0.325726805067011","49.650000000000006"
"81","false","156","72.73276534453261","26.214740963663772","0.2695645954786449","49.650000000000006"
"82","false","156","68.18102851127108","23.428969908008117","0.27955538309994926","49.650000000000006"
"83","false","156","53.349048716940146","20.26123944909983","0.2594157293548894","49.650000000000006"
"84","false","156","36.6965580205973","14.871107957416081","0.2734829675256889","49.650000000000006"
"85","false","156","65.85346821623182","21.235617544344876","0.3569062442273627","49.650000000000006"
