"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E2-intervention-returns-panic"
"07/25/2026 15:55:12:733 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"2","true","0","1","0.627","0.75","76","44.104525837015544","11.766228296879504","0.23512500000000003"
"3","true","0","1","0.627","0.75","83","21.91473710385091","9.073599321527578","0.3623769622875963"
"2","true","0","1","0.627","0.75","77","44.07519588854539","11.724859512081073","0.23512500000000003"
"3","true","0","1","0.627","0.75","84","22.18307006396342","9.021538894882479","0.30162041132531986"
"3","true","0","1","0.627","0.75","85","22.142681394925866","9.065131503392246","0.23512500000000003"
"2","true","0","1","0.627","0.75","78","44.127193446851116","11.754922740909999","0.23512500000000003"
"3","true","0","1","0.627","0.75","86","22.141641215051017","8.951442119469725","0.23512500000000003"
"3","true","0","1","0.627","0.75","87","22.128306907779308","8.86054787786617","0.23512500000000003"
"3","true","0","1","0.627","0.75","88","22.36114263806656","8.797149096982487","0.23512500000000003"
"3","true","0","1","0.627","0.75","89","22.622862939071492","8.796202147669199","0.23512500000000003"
"3","true","0","1","0.627","0.75","90","22.23835673829489","8.614162570129988","0.23512500000000003"
"2","true","0","1","0.627","0.75","79","43.994824122940365","11.719520685415766","0.23512500000000003"
"2","true","0","1","0.627","0.75","80","43.863239238360194","11.701349555078085","0.24933405159685787"
"2","true","0","1","0.627","0.75","81","44.67764813581767","11.745367290770739","0.23512500000000003"
"2","true","0","1","0.627","0.75","82","44.56579586808824","11.733370350562687","0.23512500000000003"
"2","true","0","1","0.627","0.75","83","44.77487208394686","11.818378585532763","0.2524507433813577"
"2","true","0","1","0.627","0.75","84","44.92929774925928","11.791595012927864","0.3476011557081464"
"2","true","0","1","0.627","0.75","85","44.85254435204041","11.763214713390953","0.23512500000000003"
"2","true","0","1","0.627","0.75","86","44.27807497523429","11.638594266198181","0.24477771324698525"
"2","true","0","1","0.627","0.75","87","43.757184260392066","11.679160854595551","0.23952620816633938"
"2","true","0","1","0.627","0.75","88","43.615165231656626","11.581074416165986","0.23952620816633938"
"3","true","0","1","0.627","0.75","91","22.332087704205687","8.598254323143085","0.23512500000000003"
"1","true","0","1","0.627","0.75","0","0","0","1"
"2","true","0","1","0.627","0.75","89","43.586509562280476","11.617544156695873","0.23512500000000003"
"2","true","0","1","0.627","0.75","90","43.77167136084066","11.615907548242584","0.23512500000000003"
"1","true","0","1","0.627","0.75","1","0","0","0.9133278645112954"
"2","true","0","1","0.627","0.75","91","43.78751279262165","11.585901011916475","0.23512500000000003"
"2","true","0","1","0.627","0.75","92","44.0011896186427","11.628724871037745","0.23512500000000003"
"3","true","0","1","0.627","0.75","92","22.341383579403832","8.638855546390921","0.23512500000000003"
"3","true","0","1","0.627","0.75","93","22.463068697849174","8.641242448967025","0.23512500000000003"
"3","true","0","1","0.627","0.75","94","22.03693844756236","8.586737371592806","0.23512500000000003"
"2","true","0","1","0.627","0.75","93","42.733651137395285","11.24709243797939","0.240758010023746"
"2","true","0","1","0.627","0.75","94","42.921595862029186","11.297502441229438","0.31583894627212533"
"3","true","0","1","0.627","0.75","95","22.130252349545096","8.615246359080887","0.2377583868332983"
"3","true","0","1","0.627","0.75","96","22.124291096137032","8.581658721079547","0.23512500000000003"
"3","true","0","1","0.627","0.75","97","22.11962842521008","8.623429561184953","0.2583326127856812"
"2","true","0","1","0.627","0.75","95","43.01518345572191","11.225859318535543","0.2595814780331302"
"2","true","0","1","0.627","0.75","96","43.77358106961111","11.265987892027201","0.23512500000000003"
"2","true","0","1","0.627","0.75","97","43.25129364595742","11.12911181891468","0.23512500000000003"
"2","true","0","1","0.627","0.75","98","43.263162932493294","11.071031079252755","0.24634866612411044"
